question,option1,option2,option3,option4,answer,imageName,underline,explanation_ko,explanation_en,explanation_zh_hans,explanation_zh_hant,explanation_ja,explanation_fr,explanation_id,explanation_es,explanation_th,explanation_vi
"（電話で）\n父 「はい、山下です。」 息子「あ、もしもし、お父さん？今、お母さん、家にいる？」\n父 「ああ、いるよ。ちょうど仕事から（　　　）よ。」


",帰ってきたことがある,帰っていったことがある,"
帰ってきたところだ",帰っていったところだ,"
帰ってきたところだ",,,,「Vたところだ」 means 'have just V-ed'. 「仕事から帰ってきたところだ」 shows that the mother has just arrived home right now.,,,,,,,,
つぎの文の ★ に入る最もよいものを、１・２・３・４から一つえらびなさい。\n課長「山田さん、資料の整理をやってもらえますか。来週の金曜 __ __ ★  __、できるときにお願いします。」,ですから,で,いい,まで,いい,,,,"まで → で → いい → ですから\nまで — 'until, by (time)'; sets the deadline: 来週の金曜まで ('until next Friday').\nで — 'by, as'; here it makes までで, meaning 'as long as it is by (that time)'.\nいい — 'is fine'; indicates that the deadline is not strict as long as it’s met.\nですから — 'so / therefore'; politely connects the time condition with the request.",,,,,,,,
私は、もし自分が __ __ ★  __ 看護師の仕事をしています。,"
考えながら",ということを,患者だったら,どうしてほしいか,ということを,,,,患者だったら → どうしてほしいか → ということを → 考えながら\n患者だったら — 'if I were the patient'; sets up an imaginary situation.\n どうしてほしいか — 'what I would want (someone) to do'; expresses the patient’s wish.\nということを — nominalises the idea into 'the fact/idea that...'; joins the clause to a noun phrase.\n考えながら — 'while thinking'; shows that the action is done while keeping this idea in mind.,,,,,,,,
最近、田中さんは元気がない。心配だが、何が __ __ ★  __してあげられない。,聞いても,あったのか,何も,答えてくれないので,答えてくれないので,,,,"あったのか → 聞いても → 答えてくれないので → 何も\nあったのか — 'what happened'; completes 'what (has) happened?'.\n聞いても — 'even if I ask'; introduces a concessive condition.\n答えてくれないので — 'doesn’t answer me, so...'; gives the reason for the next clause.\n何も — 'anything, nothing (in a negative sentence)'; will modify してあげられない.",,,,,,,,
この辺りは自然が多く、いつかこういうところに住んでみたいと思うが、近くに買い物できる場所がないので、__ __ ★  __のは大変そうだ。,私には,できない,生活する,車の運転が,私には,,,,車の運転が → できない → 私には → 生活する\n車の運転が — 'driving a car'; subject of できない.\nできない — 'cannot do'; states the inability to drive.\n私には — 'for me'; marks the person for whom this is difficult.\n生活する — 'to live'; the action described as difficult.,,,,,,,,
[1]〜[5]に入る言葉の組み合わせとして、最もよいものを１〜４から一つ選びなさい。\n\n私は最近、スマートフォンでショート動画をよく見るようになりました。ショート動画とは、１分以内の短い動画のことで、料理・旅行・ダンスなど、内容はさまざまです。日本に来る前は、こんなに面白いコンテンツがあることを[1]。ある日、クラスメートのたかしさんが「自分でも動画を作って投稿してみたら？」とすすめてくれました。私は人前で話すのが得意ではないので、すぐには気が進みませんでした。[2]、「顔を出さなくてもいい」と聞いて、やってみようという気持ちになりました。次の休日、料理をしながら動画を撮影し、アプリで編集して、[3]。翌日、見知らぬ人から「おいしそう！」というコメントが届いて、とてもうれしくなりました。それからは毎週、動画のために新しいレシピに挑戦するようになりました。駅前のスーパーで食材を選ぶのも楽しみになって、[4]に行くたびに「次は何を作ろう」とわくわくします。ショート動画は一人[5]楽しめますが、コメントを通じてたくさんの人とつながれるところが、一番の魅力だと思います。これからも続けていきたいです。,知りませんでした-それでも-投稿してみることにしました-その店-でも,知っていたからです-そのうえ-投稿してみることになっています-こんな店-だけ,知るはずでした-だから-投稿してみたことがあります-あの店-なら,知っていたようです-それに-投稿してみるつもりでした-この店-より,知りませんでした-それでも-投稿してみることにしました-その店-でも,,,,"[1] “知りませんでした” fits because the speaker didn’t know about short videos before coming to Japan. [2] “それでも” shows contrast: although they were not confident, something changed their mind. [3] “投稿してみることにしました” matches the flow of trying something new. [4] “その店” refers naturally to the supermarket mentioned before. [5] “でも” fits the structure “一人でも楽しめます” (can enjoy even alone).",,,,,,,,
"どうしてユナさんはAIで日本語を練習しているのか。\n\n友達のユナさんは、最近AIと日本語で会話する練習をしているそうだ。以前は語学学校に通っていたが、今はスマートフォンのアプリを使っているという。どうしてAIに変えたのかと聞いてみると、「夜中でも練習できるから」という答えが返ってきた。語学学校は授業の時間が決まっているし、先生の前では間違えると少し恥ずかしいこともある。AIなら何度間違えても気にしなくていいし、発音の練習も思う存分できる。そういう使い方もあるのかと思い、私もやってみようかという気持ちになった。
",語学学校の先生にすすめられたから,夜中でも練習できるから,何度間違えても恥ずかしくないから,発音の練習が思う存分できるから,夜中でも練習できるから,,,,"The passage directly states her reason: 「夜中でも練習できるから」 Other choices are advantages, but not the main reason she switched.",,,,,,,,
はるかさんは、エマさんに来週の日曜日、どうしてほしいと言っているか。\n\nエマさんへ\n先日話していたAIアート体験イベント、チケットが取れました！来週の日曜日、楽しみですね。実は、当日、急に家族の用事が入ってしまいました。前回のポップアップイベントのときはカフェの前で待ち合わせましたが、今回は先に会場に入って、受付で整理番号を2人ぶん受け取っておいてもらえますか。なるべく早く向かうようにしますが、もし遅れそうだったら、私からLINEを送りますね。体験は13時開始ですが、受付は12時半から始まります。\n\nでは、日曜日に。,カフェの前で、自分を待っていてほしい。,先に会場に入って、2人ぶんの整理番号を受け取っておいてほしい。,遅れそうなときは、自分にLINEを送ってほしい。,受付が始まる前に、会場の外で待っていてほしい。,先に会場に入って、2人ぶんの整理番号を受け取っておいてほしい。,,,,"She clearly asks Emma to: go into the venue first
get tickets (numbered entry slips) for both This is explicitly stated in the message.",,,,,,,,
「間違い」とあるが、何が間違いだったか。\n\nこれはウェアラブル機器専門店が客の林さんに送ったメールである。\n宛先: 林様\n件名: ご注文商品の発送について（お詫び）\n林様いつもお世話になっております。ご注文の商品を昨日お送りしたのですが、間違いがございました。誠に申し訳ございません。ご注文いただいていたのは、スマートリング１個、充電ケーブル３本でしたが、充電ケーブルを５本お送りしてしまっておりました。本日、正しい数量のものを改めてお送りいたしました。お手数ですが、多くお届けしてしまった分２本は着払いにてご返送いただけますと幸いです。ご不便をおかけし、大変申し訳ございませんでした。スマートギア　田辺,スマートリングを送らなかったこと,スマートリングを２個送ってしまったこと,"
充電ケーブルを３本しか送らなかったこと",充電ケーブルを５本送ってしまったこと,充電ケーブルを５本送ってしまったこと,,,,Correct order: 3 cables Sent: 5 cables → The mistake is sending too many cables,,,,,,,,
「私」が最も言いたいことは何か。\n\n　私はポッドキャストを聴くのが好きだ。特に、マニアックなテーマを深く掘り下げる番組は、他では聞けない話が多くて最高だ。日本ではニッチなジャンルでも、質の高いポッドキャストが数多く存在する。そのような番組がこれほど充実しているのは、ラジオ放送の文化がインターネットより先に広く根付いたからだそうだ。長年ラジオで鍛えられた話し手や構成力が、そのままポッドキャストに受け継がれたのだという。もし順番が逆で、ラジオ文化が育つ前にインターネットが普及していたら、今のように豊かなポッドキャストの世界は生まれなかっただろう。この流れに感謝したい。,日本では、マニアックなテーマのポッドキャストをもっと多くの人に聴いてもらいたい。,日本では、ニッチなジャンルでも質の高いポッドキャストがあるので、とても便利だ。,日本では、ラジオもポッドキャストもどちらも楽しめるようになったので、すばらしい。,日本では、ラジオ文化がインターネットより先に発展したおかげで、豊かなポッドキャスト文化が生まれてよかった。,日本では、ラジオ文化がインターネットより先に発展したおかげで、豊かなポッドキャスト文化が生まれてよかった。,,,,The entire passage builds toward this idea: Radio culture existed first That foundation created high-quality podcasts → This is the main conclusion,,,,,,,,
「こんにちは。あなたに合ったニュースをお届けします。」最近、AIを使って一人一人に合った情報を提供するサービスが増えている。先日、あるアプリを開くと、自分が興味を持っている話題だけが表示されていた。①「こんなにぴったりなのか」と驚いて、しばらく画面を見続けてしまった。このようなサービスは、利用者の検索履歴や閲覧時間などのデータをもとに作られている。そのため、自分に必要な情報をすぐに見つけることができる。しかし、便利な一方で、②同じような情報ばかりが表示されるという問題も指摘されている。専門家によると、このような状態が続くと、自分と異なる考え方に触れる機会が減り、視野が狭くなる可能性があるという。そのため、最近では、あえて違う意見や新しい話題も表示する機能を取り入れるサービスも出てきている。便利さと多様性のバランスをどう取るか。それが、これからの情報社会において重要な課題となりそうだ。\n\n①「こんなにぴったりなのか」とあるが、どうしてそう思ったのか。,アプリのデザインがとてもきれいだったから,自分の興味に合った情報だけが表示されたから,新しいニュースがたくさんあったから,友人がすすめてくれたアプリだったから,自分の興味に合った情報だけが表示されたから,,,,The surprise comes from: seeing only content that perfectly matches personal interests → “こんなにぴったりなのか”,,,,,,,,
「こんにちは。あなたに合ったニュースをお届けします。」最近、AIを使って一人一人に合った情報を提供するサービスが増えている。先日、あるアプリを開くと、自分が興味を持っている話題だけが表示されていた。①「こんなにぴったりなのか」と驚いて、しばらく画面を見続けてしまった。このようなサービスは、利用者の検索履歴や閲覧時間などのデータをもとに作られている。そのため、自分に必要な情報をすぐに見つけることができる。しかし、便利な一方で、②同じような情報ばかりが表示されるという問題も指摘されている。専門家によると、このような状態が続くと、自分と異なる考え方に触れる機会が減り、視野が狭くなる可能性があるという。そのため、最近では、あえて違う意見や新しい話題も表示する機能を取り入れるサービスも出てきている。便利さと多様性のバランスをどう取るか。それが、これからの情報社会において重要な課題となりそうだ。\n\n②同じような情報ばかりが表示されるとあるが、どのようなことか。,全く新しい情報だけが表示されること,自分の興味とは関係ない情報が多くなること,自分と似た内容の情報ばかりが続けて表示されること,情報がほとんど表示されなくなること,自分と似た内容の情報ばかりが続けて表示されること,,,,This describes a “filter bubble”: similar content repeatedly shown lack of diversity in information,,,,,,,,
「こんにちは。あなたに合ったニュースをお届けします。」最近、AIを使って一人一人に合った情報を提供するサービスが増えている。先日、あるアプリを開くと、自分が興味を持っている話題だけが表示されていた。①「こんなにぴったりなのか」と驚いて、しばらく画面を見続けてしまった。このようなサービスは、利用者の検索履歴や閲覧時間などのデータをもとに作られている。そのため、自分に必要な情報をすぐに見つけることができる。しかし、便利な一方で、②同じような情報ばかりが表示されるという問題も指摘されている。専門家によると、このような状態が続くと、自分と異なる考え方に触れる機会が減り、視野が狭くなる可能性があるという。そのため、最近では、あえて違う意見や新しい話題も表示する機能を取り入れるサービスも出てきている。便利さと多様性のバランスをどう取るか。それが、これからの情報社会において重要な課題となりそうだ。\n\nこの文章によると、このサービスの問題点として何があげられているか。,アプリの使い方が難しいこと,情報が多すぎて選べないこと,自分と違う考えに触れる機会が減ること,利用するためにお金がかかること,自分と違う考えに触れる機会が減ること,,,,The text explains: repeated similar info → reduced exposure to different opinions → narrower perspective,,,,,,,,
グリーン未来大学　学生サポートセンター\n春学期　水曜３時間目\nリサイクルイベントを企画しよう！\n\n○活動内容…\n５月７日から６月１８日までの６回の授業では、３つのグループに分かれてリサイクルイベントを企画します。グループごとにテーマを決め、調査やポスター作成を行います。最後の回には、イベントの内容を発表します。\n\n○活動場所…\n３０１教室とデザイン室（スケジュールの表で☆★マークの付いている日に、デザイン室が利用できます。）\n\n※デザイン室は、使用時間を前半と後半に分け、１グループずつ使用します。\n\n前半１３：００～１３：３０　後半１３：３０～１４：００\n\n☆の日　グループA → グループB → グループC\n★の日　グループC → グループB → グループA\n○スケジュール\n回        月日        活動内容        デザイン室\n1        ５月７日        グループ分け、テーマ決定\n2        ５月１４日        調査・準備        ☆\n3        ５月２１日        ポスター作成        ★\n4        ５月２８日        活動なし\n5        ６月４日        ポスター完成        ☆\n6        ６月１８日        発表 \n\nミンさんはグループCになった。グループCが、いちばん早くデザイン室を利用できるのはいつか。,５月１４日の１３：００から,５月１４日の１３：３０から,５月２１日の１３：００から,５月２１日の１３：３０から,５月１４日の１３：３０から,,,,"5/14 is ☆ day Order: A → B → C,C is last → 13:30–14:00",,,,,,,,
グリーン未来大学　学生サポートセンター\n春学期　水曜３時間目\nリサイクルイベントを企画しよう！\n\n○活動内容…\n５月７日から６月１８日までの６回の授業では、３つのグループに分かれてリサイクルイベントを企画します。グループごとにテーマを決め、調査やポスター作成を行います。最後の回には、イベントの内容を発表します。\n\n○活動場所…\n３０１教室とデザイン室（スケジュールの表で☆★マークの付いている日に、デザイン室が利用できます。）\n\n※デザイン室は、使用時間を前半と後半に分け、１グループずつ使用します。\n\n前半１３：００～１３：３０　後半１３：３０～１４：００\n\n☆の日　グループA → グループB → グループC\n★の日　グループC → グループB → グループA\n○スケジュール\n回        月日        活動内容        デザイン室\n1        ５月７日        グループ分け、テーマ決定\n2        ５月１４日        調査・準備        ☆\n3        ５月２１日        ポスター作成        ★\n4        ５月２８日        活動なし\n5        ６月４日        ポスター完成        ☆\n6        ６月１８日        発表 \n\nグループBが５月２１日にデザイン室を使う時間はいつか。,１３：００～１３：３０,１３：３０～１４：００,利用できない,１２：３０～１３：００,１３：３０～１４：００,,,,"5/21 is ★ day Order: C → B → A,B is second → 13:30–14:00",,,,,,,,
グリーン未来大学　学生サポートセンター\n春学期　水曜３時間目\nリサイクルイベントを企画しよう！\n\n○活動内容…\n５月７日から６月１８日までの６回の授業では、３つのグループに分かれてリサイクルイベントを企画します。グループごとにテーマを決め、調査やポスター作成を行います。最後の回には、イベントの内容を発表します。\n\n○活動場所…\n３０１教室とデザイン室（スケジュールの表で☆★マークの付いている日に、デザイン室が利用できます。）\n\n※デザイン室は、使用時間を前半と後半に分け、１グループずつ使用します。\n\n前半１３：００～１３：３０　後半１３：３０～１４：００\n\n☆の日　グループA → グループB → グループC\n★の日　グループC → グループB → グループA\n○スケジュール\n回        月日        活動内容        デザイン室\n1        ５月７日        グループ分け、テーマ決定\n2        ５月１４日        調査・準備        ☆\n3        ５月２１日        ポスター作成        ★\n4        ５月２８日        活動なし\n5        ６月４日        ポスター完成        ☆\n6        ６月１８日        発表 \n\nユナさんたちのグループは、６月４日の授業時間中にインタビューを行いたい。いつ先生に計画を見せなければならないか。,５月１４日,５月２１日,５月２８日,６月４日,５月２８日,,,,Interview planned: June 4 Must get approval before that class The only available class before = May 28,,,,,,,,
