question,option1,option2,option3,option4,answer,imageName,underline,explanation_ko,explanation_en,explanation_zh_hans,explanation_zh_hant,explanation_ja,explanation_fr,explanation_id,explanation_es,explanation_th,explanation_vi,
わたしは今の生活にまんぞくしている。,満続,万続,万足,満足,満足,,まんぞく,「満足」=만족. 満続/万続/万足은 글자 오류.,「満足」 (satisfaction) is correct; others are character errors.,「満足」正确，其他是错别字/误用。,「満足」正確。其他は誤字。,「満足」が正しい。ほかは誤り。,満足 est correct; les autres sont fautifs.,満足 benar; lainnya salah.,満足 correcto; los otros son errores.,満足 ถูกต้อง ตัวอื่นสะกดผิด,満足 đúng; các lựa chọn khác sai.,
父は腕をくんで何か考えていた。,接んで,組んで,折んで,結んで,組んで,,くんで,「腕を組む」=팔짱을 끼다。接ぶ/折る/結ぶ와는 다릅니다。,「腕を組む」 means fold one’s arms. Not connect/break/tie.,「腕を組む」=抱臂。不是连接/折断/系。,「腕を組む」=抱臂。接ぶ/折る/結ぶとは違う。,「腕を組む」=腕を交差させる。接ぶ/折る/結ぶではない。,Plier les bras = 「腕を組む」. Pas joindre/casser/nouer.,腕を組む = menyilangkan tangan. Bukan menyambung/mematahkan/mengikat.,腕を組む = cruzar los brazos. No conectar/quebrar/atar.,腕を組む = กอดอก/ไขว้แขน ไม่ใช่ ต่อ/หัก/ผูก,「腕を組む」 = khoanh tay. Không phải nối/bẻ/buộc.,
（ ）に入れるのに最もよいものを、一つえらびなさい。 この紙は、ぬれても破れにくいという（ ）があります。,実力,特長,専門,主張,特長,,,"文脈は「特長」=장점/특징。実力=능력, 専門=전문, 主張=주장과 다름。",Context: 「特長」 (strong point/feature). Others don't fit.,语境应为「特长」（长处/特点）。実力=实力，専門=专门，主张=主张。,語境は「特長」。実力/専門/主張とは異なる。,ここは「特長」。他は文脈不一致。,Contexte: 「特長」 (atout/caractéristique). Les autres ne conviennent pas.,Konteks: 「特長」 (keunggulan/fitur). Lainnya tidak cocok.,Contexto: 「特長」 (característica/ventaja). Los demás no encajan.,บริบทคือ 「特長」 (จุดเด่น) ตัวอื่นไม่ตรง,Ngữ cảnh là 「特長」 (ưu điểm/đặc trưng). Khác không phù hợp.,
佐藤さんには、おとなしい（ ）があるが、本当は活動的な人らしい。,ヒント,タイトル,アイディア,イメージ,イメージ,,,ここは外見・印象=「イメージ」。ヒント/タイトル/アイディアは 문맥 불일치。,Use 「イメージ」 (impression). Others don't match context.,此处应为「イメージ」（印象）。其余不合语境。,此處為「イメージ」（印象）。其餘不合。,ここは「イメージ」（印象）。他は不適切。,Ici 「イメージ」 = impression. Les autres ne conviennent pas.,Di sini 「イメージ」 = kesan. Lainnya tidak cocok.,Aquí 「イメージ」 = impresión. Los demás no encajan.,ที่นี่ควรเป็น 「イメージ」 = ภาพลักษณ์/ความรู้สึก,Ở đây chọn 「イメージ」 = ấn tượng. Khác không hợp.,
正月には親戚が集まって、みんなでテーブルを（ ）、楽しく食事をした,囲み,通し,包み,越え,囲み,,,「テーブルを囲む」=둘러앉다. 通す/包む/越える는 의미가 다릅니다。,「テーブルを囲む」 means sit around a table. Others are wrong.,「テーブルを囲む」=围坐。通す/包む/越える意义不同。,「テーブルを囲む」=囲んで座る。他は不適。,「テーブルを囲む」=周りに座る。ほかは不可。,テーブルを囲む = s'asseoir autour de la table.,テーブルを囲む = duduk mengelilingi meja.,テーブルを囲む = sentarse alrededor de la mesa.,テーブルを囲む = ล้อมโต๊ะนั่งกิน,「テーブルを囲む」 = ngồi quây quần quanh bàn.,
このレストランの料理はおいしくないので、店内はいつも（ ）だ。,ふらふら,ぐっすり,がらがら,うっかり,がらがら,,,「がらがら」=텅 비어 한산함. ふらふら/ぐっすり/うっかり는 의미 불일치。,「がらがら」 means empty/uncrowded. Others don't fit.,「がらがら」=空荡。其余语义不符。,「がらがら」=空いている様子。他は不一致。,「がらがら」=客が少ない様子。ほかは違う。,がらがら = vide/désert. Les autres ne conviennent pas.,がらがら = sepi/kosong. Lainnya tidak cocok.,がらがら = vacío/desierto. Otros no encajan.,がらがら = โล่ง คนน้อย,がらがら = vắng vẻ/trống. Khác không hợp.,
高田さんが引っ越すという（ ）を聞いたが、本当かどうか気になる,うわさ,宣伝,うそ,冗談,うわさ,,,"「うわさ」=소문. 宣伝=선전, うそ=거짓, 冗談=농담과 구별。",「うわさ」 (rumor) fits. 宣伝/うそ/冗談 are different.,「うわさ」=传闻。与宣传/谎言/玩笑不同。,「うわさ」=噂話。宣伝/うそ/冗談とは別。,ここは「うわさ」。他は意味が違う。,Ici 「うわさ」 = rumeur. Les autres diffèrent.,Di sini 「うわさ」 = rumor. Lainnya berbeda.,Aquí 「うわさ」 = rumor. Los otros son distintos.,ที่นี่คือ 「うわさ」 = ข่าวลือ,Ở đây 「うわさ」 = tin đồn. Khác nghĩa.,
父から借りた本をなくしてしまったので謝ったら、父はすぐに（ ）くれた。,従って,守って,許して,抑えて,許して,,,ここは「許して」=용서하다. 従う/守る/抑える는 의미가 다름。,Use 「許して」 (forgave). Others mean obey/protect/suppress.,此处应为「許して」（原谅）。其余为服从/守护/抑制。,此處為「許して」（原諒）。其他為従う/守る/抑える。,「許して」=許可・寛容。他は不適。,Ici 「許して」 = a pardonné. Les autres ne conviennent pas.,Di sini 「許して」 = memaafkan. Lainnya tidak cocok.,Aquí 「許して」 = perdonó. Otros: obedecer/proteger/reprimir.,ที่นี่เลือก 「許して」 = ยกโทษให้,Ở đây 「許して」 = tha lỗi. Khác nghĩa.,
パソコンの前でずっと同じ（ ）でいたので、体が痛くなった。,様子,姿勢,印象,間隔,姿勢,,,"「姿勢」=자세/포즈. 様子=모양새, 印象=인상, 間隔=간격으로 다름。",「姿勢」 (posture) fits. Others are state/impression/interval.,「姿勢」=姿势/体态。様子/印象/間隔与之不同。,「姿勢」=姿勢。様子/印象/間隔とは違う。,「姿勢」=体のかまえ。他は意味不一致。,姿勢 = posture. Les autres: état/impression/intervalle.,姿勢 = postur. Lainnya: keadaan/kesan/jarak.,姿勢 = postura. Otros: estado/impresión/intervalo.,姿勢 = ท่าทาง/อิริยาบถ ตัวอื่นไม่ตรง,姿勢 = tư thế. Khác: dáng vẻ/ấn tượng/khoảng cách.,
申込書に間違いがないか、よく（ ）から受付に出した。,くりかえして,気にして,見つめて,たしかめて,たしかめて,,,「たしかめて」=확인하고 나서. くりかえす/気にする/見つめる와는 다름。,"Use 「たしかめて」 (confirm), then submit. Others don't fit.",此处用「たしかめて」（确认后）。其余不符。,此處為「たしかめて」（確認して）。その他不適。,「たしかめて」=確認してから。他は不適切。,たしかめて = vérifier puis. Les autres ne conviennent pas.,たしかめて = memastikan lalu. Lainnya tidak cocok.,たしかめて = confirmar y luego. Otros no encajan.,たしかめて = ตรวจสอบให้แน่ใจก่อน แล้วค่อย,たしかめて = xác nhận rồi mới. Khác không hợp.,
わたしのふるさとは（ ）が盛んで、米や野菜をたくさん作っています。,自然,資源,作物,農業,農業,,,ここは「農業」=농사/농업。自然/資源/作物과 구별。,Choose 「農業」 (agriculture). Others are nature/resources/crops.,此处选「農業」（农业）。自然/資源/作物不同概念。,此處は「農業」。自然/資源/作物とは別。,「農業」=農作に関する産業。他は別概念。,農業 = agriculture. Les autres sont différents.,農業 = pertanian. Lainnya berbeda.,農業 = agricultura. Otros distintos.,農業 = เกษตรกรรม ตัวอื่นเป็นคนละความหมาย,農業 = nông nghiệp. Khác khái niệm.,
水に浮いていた木の葉が、しばらくすると水の中に（ ）しまった。,しずんで,ころんで,たおれて,おぼれて,しずんで,,,「しずんで」=가라앉다. ころぶ/たおれる/おぼれる와 구별。,「しずんで」 means sank. Not tumble/fall over/drown.,「しずんで」=下沉。非ころぶ/たおれる/おぼれる。,「しずんで」=沈む。他と区別。,「しずんで」=沈下。ほかは別義。,しずんで = a coulé. Pas trébucher/tomber/se noyer.,しずんで = tenggelam. Bukan tersandung/roboh/tenggelam(人).,しずんで = se hundió. No tropezar/caer/ahogarse.,しずんで = จมลง ไม่ใช่ สะดุด/ล้ม/จมน้ำ(คน),しずんで = chìm xuống. Không phải vấp/ngã/đuối nước.,
この話は誰にも言わずに、ずっと（ ）にしていた。,裏側,内緒,後方,中身,内緒,,,「内緒」=비밀. 裏側/後方/中身는 문맥 불일치。,「内緒」 means secret. Others don't fit.,「内緒」=秘密。其余不符语境。,「内緒」=内密。ほかは不一致。,「内緒」=秘密にしておくこと。他は違う。,内緒 = secret. Les autres ne conviennent pas.,内緒 = rahasia. Lainnya tidak cocok.,内緒 = secreto. Los demás no encajan.,内緒 = ความลับ ตัวอื่นไม่ตรง,内緒 = bí mật. Khác không hợp.,
__に意味が最も近いものを、一つえらびなさい。 水の表面がかがやいています。,止まって,揺れて,汚れて,光って,光って,,かがやいて,「かがやく」=빛나다 →「光って」가 同義。止まる/揺れる/汚れる는 다름。,「かがやく」 means shine → same as 「光って」.,「かがやく」=闪耀→同义于「光って」。其余不同义。,「かがやく」=輝く→「光って」と同義。他は違う。,「かがやく」=光を放つ。光って=同義。,"かがやく = briller -> ""光って"" est synonyme.","かがやく = berkilau -> sama dengan ""光って"".","かがやく = brillar -> igual que ""光って"".","かがやく = เปล่งประกาย = ""光って""",「かがやく」= toả sáng -> cùng nghĩa với 「光って」.,
その知らせを聞いたとき、わたしはとてもがっかりした。,残念だと思った,うれしかった,驚いた,安心した,残念だと思った,,がっかりした,「がっかりした」=실망했다 →「残念だと思った」と同義。,「がっかりした」 means disappointed → same as 「残念だと思った」.,「がっかりした」=失望→等同于「残念だと思った」。,「がっかりした」=失望した→「残念だと思った」と同じ。,「がっかりした」=失望したの意味。,"がっかりした = déçu -> ""残念だと思った"".","がっかりした = kecewa -> sama dengan ""残念だと思った"".","がっかりした = decepcionado -> igual a ""残念だと思った"".","がっかりした = ผิดหวัง = ""残念だと思った""","「がっかりした」= thất vọng -> cùng với ""残念だと思った"".",
留学生活に不安は当然ありました。,いろいろ,少し,もちろん,いつも,もちろん,,当然,「当然」=물론/당연히. いろいろ/少し/いつも와는 다름。,「当然」 here means of course/naturally.,「当然」此处=当然/理所当然。非いろいろ/少し/いつも。,「当然」=当然。ほかとは意味が異なる。,「当然」=当たり前のこと。,当然 = bien sûr/naturellement.,当然 = tentu saja/semestinya.,当然 = por supuesto/naturalmente.,当然 = แน่นอน/เป็นธรรมดา.,当然 = đương nhiên/dĩ nhiên.,
パーティーの料理があまりました。,残りました,少し足りませんでした,とてもおいしかったです,そんなにおいしくなかったです,残りました,,あまりました,「あまる」=남다 →「残りました」が同義。ほかは文脈不一致。,「あまる」 means remain/left over → same as 「残りました」.,「あまる」=剩余→同于「残りました」。,「あまる」=余る→「残りました」と同じ。,「あまる」=余る=残る。,"あまる = rester (en trop) -> ""残りました"".","あまる = tersisa -> sama dengan ""残りました"".","あまる = sobrar -> igual a ""残りました"".","あまる = เหลือ -> เท่ากับ ""残りました""","「あまる」= còn thừa -> cùng với ""残りました"".",
ここは横断禁止です。,座ってはいけません,渡ってはいけません,走ってはいけません,入ってはいけません,渡ってはいけません,,横断禁止です,「横断禁止」=횡단 금지→「渡ってはいけません」。他は別の禁止。,「横断禁止」 = No crossing → equals 「渡ってはいけません」.,「横断禁止」=禁止横穿→等于「渡ってはいけません」。,「横断禁止」=横断してはならない→「渡ってはいけません」。,「横断禁止」=横断不可=渡ってはいけない。,横断禁止 = interdiction de traverser.,横断禁止 = dilarang menyeberang.,横断禁止 = prohibido cruzar.,横断禁止 = ห้ามข้ามถนน.,横断禁止 = cấm băng qua đường.,
つぎのことばの使い方として最もよいものを、一つえらびなさい。 急,この料理は電子レンジを使って急にできるので、とても簡単だ。,あと１０分で電車が出発してしまうので、急に駅に向かった。,部屋から急に人が飛び出してきたので、ぶつかりそうになった。,新しいゲームを買ったので、家に帰って急にやってみた。,部屋から急に人が飛び出してきたので、ぶつかりそうになった。,,,「急に」=뜻밖에/갑자기. 3번 문장이 자연. 나머지는 어색한 용법。,Use of 「急に」 (suddenly): sentence 3 is natural; others are odd.,「急に」=突然。第3句用法自然，其余别扭。,「急に」=突然。③が自然。他は不自然。,「急に」=突然に。③が最も自然。,急に = soudainement. La 3e phrase est naturelle.,急に = tiba-tiba. Kalimat ke-3 paling tepat.,急に = de repente. La 3.ª es natural.,急に = ทันใดนั้น/กะทันหัน ข้อ 3 เป็นธรรมชาติสุด,急に = đột ngột. Câu 3 tự nhiên nhất.,
沸騰,今日は朝からどんどん暑くなり、昼には気温が沸騰した。,鍋のお湯が沸騰したら、とうふを入れて火を少し弱くしてください。,昼ごろから具合が悪くなり、夕方熱が沸騰したので病院へ行った。,このストーブは沸騰するのが早いので、すぐに部屋が暖かくなる。,鍋のお湯が沸騰したら、とうふを入れて火を少し弱くしてください。,,,「沸騰」=끓다(액체). 기온/열이沸騰은 부자연. 냄비のお湯の文が正解。,「沸騰」 applies to liquids boiling; pot water sentence fits.,「沸騰」用于液体沸腾；锅里水那句正确。,「沸騰」は液体に使う。鍋の湯の文が適切。,「沸騰」は液体が煮立つこと。鍋の文が正しい。,沸騰 s'applique aux liquides; la phrase de la casserole est correcte.,沸騰 dipakai untuk cairan mendidih; kalimat panci benar.,沸騰 se usa para líquidos hirviendo; la de la olla es correcta.,沸騰 ใช้กับของเหลวเดือด ประโยคหม้อถูกต้อง,沸騰 dùng cho chất lỏng sôi; câu nồi là đúng.,
まげる,今朝は寒かったので、マフラーを首にまげて出かけた。,けがは良くなったが、腕を伸ばしたりまげたりすると、まだ少し痛む。,一つのパンを半分にまげて、二人で分けて食べた。,シャツをきちんとまげたら、たんすの引き出しにしまってください。,けがは良くなったが、腕を伸ばしたりまげたりすると、まだ少し痛む。,,,「まげる」=굽히다/구부리다。腕を伸ばしたりまげたり…의 문이 자연。他は不適。,「まげる」 means bend. The arm bend/extend sentence fits.,「まげる」=弯曲。胳膊伸屈那句正确。,「まげる」=曲げる。腕の文が適切。,「まげる」=曲げる。腕の文が自然。,まげる = plier/courber. La phrase du bras est correcte.,まげる = membengkokkan. Kalimat lengan benar.,まげる = doblar. La oración del brazo es correcta.,まげる = งอ/พับ ประโยคแขนถูกต้อง,まげる = bẻ cong. Câu về cánh tay đúng.,
出張,営業のため、来週一週間、課長とアメリカに出張します。,仕事を辞めたら、家族とゆっくり海外に出張したいと思う。,わたしは毎朝９時に会社に出張し、残業はしないで家に帰る。,あしたは子どもの運動会に出張するので、仕事を休みます。,営業のため、来週一週間、課長とアメリカに出張します。,,,「出張」=출장. 1번 문장이 자연. 나머지는 의미 불일치。,「出張」 means business trip; sentence 1 is correct.,「出張」=出差。第1句正确，其余不符。,「出張」=出張。①が正しい。他は不適。,「出張」=業務で出かけること。①が適切。,出張 = déplacement pro. La 1re phrase est correcte.,出張 = perjalanan dinas. Kalimat 1 benar.,出張 = viaje de negocios. La 1.ª es correcta.,出張 = เดินทางไปทำงาน ข้อ 1 ถูกต้อง,出張 = công tác. Câu 1 đúng.,
慰める,祖母は古い物でも捨てないで、長い間慰めて使っている。,試合を見ながら、優勝を願って一生懸命選手を慰めた。,仕事で失敗してしまったが、友人が慰めてくれたので元気が出た。,弟が希望の大学に合格したので、家族で外食をして慰めた。,仕事で失敗してしまったが、友人が慰めてくれたので元気が出た。,,,「慰める」=위로하다。3번 문장이 정답。他は意味が어긋남。,「慰める」 means comfort/console; sentence 3 is correct.,「慰める」=安慰；第3句正确，其余语义不符。,「慰める」=慰める(他人を)。③が正しい。,「慰める」=人の心をなだめる。③が適切。,慰める = consoler. La 3e phrase est correcte.,慰める = menghibur. Kalimat 3 benar.,慰める = consolar. La 3.ª es correcta.,慰める = ปลอบใจ ข้อ 3 ถูกต้อง,慰める = an ủi. Câu 3 đúng.,
つぎの文の（ ）に入れるのに最もよいものを、一つえらびなさい。 彼は小説家（ ）有名になったが、普段は小さな病院で働く医者だ。,について,として,にしたがって,と比べて,として,,,「として」=자격/신분. 小説家として有名になった。,「として」 marks role/capacity: famous as a novelist.,「として」表示身份/资格：作为小说家而有名。,「として」=立場・資格。小説家として有名。,「として」=立場を示す。小説家として。,として = en tant que. Célèbre en tant qu'écrivain.,として = sebagai. Terkenal sebagai novelis.,として = como. Famoso como novelista.,として = ในฐานะ นักเขียนนิยาย,として = với tư cách. Nổi tiếng như tiểu thuyết gia.,
先週、会社の面接で「もし自分を色で表す（ ）、何色ですか。」と聞かれ、オレンジ色と答えた。「元気」や「健康」のイメージがあるからだ。,ことから,という点で,ように,としたら,としたら,,,仮定の「としたら」=もし〜なら。文脈に最適。,Hypothetical 「としたら」 = if/suppose.,假设用法「としたら」=如果……的话。,仮定の用法「としたら」。,仮定条件「としたら」が自然。,としたら = si/supposons que.,としたら = andaikan/jika.,としたら = si supusiéramos.,としたら = ถ้าสมมติว่า...,としたら = giả sử/nếu.,
昨日の夜、寝る前に（ ）ヨーグルトが食べたくなって、夜中なのにコンビニに買いに行ってしまった。,どうか,せっかく,どうしても,きっと,どうしても,,,「どうしても」=아무리 해도/꼭. 밤중에도 사러 간 맥락과 합치。,「どうしても」 = by all means/really want. Fits context.,「どうしても」=无论如何/很想，符合语境。,「どうしても」=どうにしても=強い欲求。文脈一致。,「どうしても」=ぜひ/なんとしても。,どうしても = absolument/à tout prix.,どうしても = sangat ingin/harus.,どうしても = a toda costa/de verdad.,どうしても = อยากมาก/ยังไงก็ต้อง,「どうしても」= rất muốn/bằng mọi giá.,
このケーキは材料を混ぜて焼く（ ）から、誰でも失敗せずにおいしく作れる。,だけだ,ことだ,せいだ,ときだ,だけだ,,,「だけだ」=〜하기만 하면. 간단함을 강조。,「だけだ」 = just/only have to → easy.,「だけだ」=只要……就……，强调简单。,「だけだ」=〜するだけで。簡単さを示す。,「だけだ」=するだけでOK。,だけだ = il suffit de...,だけだ = cukup dengan...,だけだ = con solo...,だけだ = แค่...ก็...,だけだ = chỉ cần ... là.,
私の町では毎年８月最後の日曜日に夏祭りが（ ）。,行います,行わせます,行っています,行われます,行われます,,,受け身の「行われます」=행사가 개최된다(수동)。,Passive 「行われます」 = is held.,被动「行われます」=被举办。,受身「行われます」=開催される。,「行われます」=催される(受動).,行われます = a lieu (est tenu).,行われます = diadakan.,行われます = se celebra.,行われます = จัดขึ้น (ถูกกระทำ),行われます = được tổ chức.,
（靴屋で） 客「すみません。この靴のもう一つ大きいサイズはありますか。」 店員「あ、はい、確認しますので、少々（ ）。」,お待ちしております,お待ちください,お待ちできます,お待ちしましょう,お待ちください,,,店員の丁寧依頼→「お待ちください」。他は不自然な敬語。,Polite request: 「お待ちください」.,礼貌请求：用「お待ちください」。,丁寧な依頼は「お待ちください」。,丁寧依頼→お待ちください。,Demande polie: 「お待ちください」.,Permintaan sopan: 「お待ちください」.,Petición cortés: 「お待ちください」.,คำขอสุภาพ: 「お待ちください」.,Yêu cầu lịch sự: 「お待ちください」.,
（電話で） Ｘ建設の社員「はい、Ｘ建設営業部です。」 中田「あ、私、ABC銀行の中田と（ ）が、山石さんをお願いします。」,ございます,いたします,申します,申し上げます,申します,,,自己紹介の謙譲語→「申します」。ございます/いたします/申し上げます는 부적절。,Humble self-introduction → 「申します」.,自谦自我介绍→用「申します」。,謙譲の自己紹介→「申します」。,自己紹介は「申します」。,Présentation humble: 「申します」.,Perkenalan merendah: 「申します」.,Presentación humilde: 「申します」.,แนะนำตัวแบบถ่อมตน: 「申します」.,Giới thiệu khiêm nhường: 「申します」.,
息子が通う高校では、お昼にパンや飲み物が買える場所もあるが、基本的には全員がお弁当を（ ）。,持っていったばかりだ,持っていくことになっている,持っていかなければならない,持っていきたい,持っていくことになっている,,,規則・取り決め→「持っていくことになっている」。,Rule/arrangement → 「持っていくことになっている」.,规则→「持っていくことになっている」。,取り決め→「持っていくことになっている」。,決まり→「持っていくことになっている」。,Règle: 「持っていくことになっている」.,Aturan: 「持っていくことになっている」.,Regla: 「持っていくことになっている」.,กติกา: 「持っていくことになっている」.,Quy định: 「持っていくことになっている」.,
入浴をするのは気持ちがいいが、夜（　）眠れるので、いつも15分ぐらいで起きる。,寝なくて,寝られると思って,寝られないと,寝ると思うと,寝られないと,,,条件「〜ないと」=〜하지 않으면. 「寝られないと」→못 자서 곧 일어남。,"Conditional 「〜ないと」 = if not, then...",条件「〜ないと」=不……就……。,条件「〜ないと」。眠れないと…。,条件形「〜ないと」。,Condition: 「〜ないと」.,Kondisi: 「〜ないと」.,Condición: 「〜ないと」.,เงื่อนไข 「〜ないと」.,Điều kiện: 「〜ないと」.,
A市は、保育園の数が少なく、保育園を（　）利用できない人がいることが問題になっている。,利用したくても,利用しそうになって,利用しているのに,利用できたら,利用したくても,,,「〜したくても」=원해도(하지만 못함). 不足の問題を表す。,「〜したくても」 = want to but can't → shortage.,「〜したくても」=想……也……不了，表示不足。,「〜したくても」=したいができない。,「〜したくても」=希望してもできない。,,〜したくても = ingin tapi tidak bisa.,〜したくても = querer pero no poder.,〜したくても = อยากแต่ทำไม่ได้.,〜したくても = muốn nhưng không thể.,
妻「ねえ、ちょっと買い物に行ってくるから、今夜はレストランの予約をお願いできる？」 夫「うん、わかった。（　）。19時からで大丈夫？」 妻「ええ、ありがとう。」,予約してね,予約しておくよ,予約しようよ,予約してあるね,予約しておくよ,,,「〜しておくよ」=사전 준비의 의사。頼まれた用事を引き受ける自然な返答。,「〜しておくよ」 = I'll make the reservation in advance.,「〜しておくよ」=提前做好/先去订。,「〜しておくよ」=事前にやっておく。,「〜しておくよ」=先にやっておくよ。,〜しておくよ = je m'en occupe à l'avance.,〜しておくよ = akan kulakukan sebelumnya.,〜しておくよ = lo haré por adelantado.,〜しておくよ = เดี๋ยวจัดการจองไว้ให้,〜しておくよ = tôi sẽ đặt trước.,
（畑で） 子「ねえ、このトマト、もう食べられる？ 赤くなっているよ。」 父「うん。そろそろ（　）ね。」,食べやすそうだ,食べていそうだ,食べごろだろう,食べてもよさそうだ,食べてもよさそうだ,,,成熟して食べられそう→「食べてもよさそうだ」。,Looks ready to eat → 「食べてもよさそうだ」.,看起来能吃了→「食べてもよさそうだ」。,食べられそう→「食べてもよさそうだ」。,食べ頃に近い→よさそうだ。,食べてもよさそうだ = semble pouvoir se manger.,食べてもよさそうだ = sepertinya boleh dimakan.,食べてもよさそうだ = parece que se puede comer.,食べてもよさそうだ = น่าจะกินได้แล้ว,食べてもよさそうだ = có vẻ ăn được.,
（改札で） 南「山下さん、来ませんね。携帯に電話をしても出ないし、どうしますか。」 中川「これ以上待つと私たちも間に合わないから、先に（ ）。」 南「そうですね。行きますか。」,行ってしまいましょうか,行ってしまうのでしょう,行ってしまいましたか,行ってしまっていました,行ってしまいましょうか,,,提案の丁寧形「〜ましょうか」→「行ってしまいましょうか」。,Polite suggestion → 「行ってしまいましょうか」.,礼貌建议→「行ってしまいましょうか」。,丁寧な提案→「行ってしまいましょうか」。,提案表現→〜ましょうか。,Suggestion polie: 「行ってしまいましょうか」.,Saran sopan: 「行ってしまいましょうか」.,Sugerencia cortés: 「行ってしまいましょうか」.,ข้อเสนอสุภาพ: 「行ってしまいましょうか」.,Đề nghị lịch sự: 「行ってしまいましょうか」.,
