grammar,example,meaning_ko,meaning_en,meaning_ja,meaning_zh,translation_ko,translation_en,translation_ja,translation_zh
再び / ふたたび,彼は再び日本を訪れたいと思っている。,다시; 재차,again; once more,もう一度、また、再び,再次；又一次,그는 다시 일본을 방문하고 싶어한다.,He wants to visit Japan again.,彼は再び日本を訪れたいと思っている。,他想再次访问日本。
ふうに,子供たちは楽しそうなふうに遊んでいた。,~한 방식으로; ~처럼; ~듯이,this way; that way; in such a way; how; like; as if,～ように、～というやり方で,这样地；那样地；以…方式；好像,아이들은 즐거워 보이는 방식으로 놀고 있었다.,The children were playing in a way that looked fun.,子供たちは楽しそうなふうに遊んでいた。,孩子们玩得很开心的样子。
がきっかけで / をきっかけに,アニメがきっかけで、日本語の勉強を始めた。,~을 계기로; ~이 계기가 되어,with… as a start; as a result of; taking advantage of ~; triggered by,～が原因で、～から始まって,以…为契机；由于…의 缘故；借…机会,애니메이션을 계기로 일본어 공부를 시작했다.,Anime was the trigger for me to start studying Japanese.,アニメがきっかけで、日本語の勉強を始めた。,因为动画片这个契机，我开始学习日语了。
げ,彼は何か言いたげな顔をしていた。,~한 듯한; ~해 보이는 (주로 감정이나 상태를 나타내는 형용사나 동사와 함께 사용),looks like; seems like; appears to ~ (usually with adjectives or verbs showing emotion/state),～そう、～らしい様子,好像…的样子；似乎… (通常与表示情感或状态的形容词或动词连用),그는 무언가 말하고 싶어하는 얼굴을 하고 있었다.,He had a look on his face as if he wanted to say something.,彼は何か言いたげな顔をしていた。,他脸上带着想说什么似的表情。
逆に / ぎゃくに,努力したが、逆に成績が下がってしまった。,반대로; 거꾸로,conversely; on the contrary ~,反対に、逆に,反过来；相反地,"노력했지만, 반대로 성적이 떨어져 버렸다.","I worked hard, but on the contrary, my grades went down.",努力したが、逆に成績が下がってしまった。,虽然努力了，但成绩反而下降了。
反면 / はんめん,都会の生活は便利な反面、ストレスも多い。,반면; 한편으로는,"while, although; on the other hand~",一方で、半面,另一方面；反过来说,"도시 생활은 편리한 반면, 스트레스도 많다.","While city life is convenient, on the other hand, it's also very stressful.",都会の生活は便利な反面、ストレスも多い。,城市生活虽然方便，但另一方面压力也很大。
果たして / はたして,果たして彼の話は本当だろうか。,과연; 정말로; 실제로; (의문문에서) 과연 ~일까,as was expected; sure enough; really; actually; (in questions) I wonder if...,本当に、果たして,果真；果然；究竟；到底；（疑问句中）到底是否…,과연 그의 이야기는 사실일까?,I wonder if his story is really true.,果たして彼の話は本当だろうか。,他的话究竟是不是真的呢？
一応 / いちおう,一応、宿題は終わらせました。,일단; 우선; 대강; 어느 정도,more or less; pretty much; roughly; tentatively; for the time being; just in case,とりあえず、まずは、大体,姑且；暂且；大致；勉强,일단 숙제는 끝냈습니다.,"I've finished my homework, more or less.",一応、宿題は終わらせました。,作业姑且是做完了。
以外 / いがい,関係者以外、立ち入り禁止です。,~이외에; ~을 제외하고,with the exception of; excepting; other than,～のほかに、～を除いて,以外；除…之外,관계자 이외에는 출입 금지입니다.,No entry except for authorized personnel.,関係者以外、立ち入り禁止です。,非相关人员禁止入内。
以上に / いじょうに,彼は私が想像した以上に親切だった。,~이상으로; ~보다 더,more than; not less than; beyond ~,～よりもっと、～を越えて,比…更；超出…,그는 내가 상상한 이상으로 친절했다.,He was kinder than I had imagined.,彼は私が想像した以上に親切だった。,他比我想象的还要亲切。
以上は / いじょうは,約束した以上は、守らなければならない。,~한 이상; ~인 한에는,because; since; seeing that; now that ~,～からには、～のだから,既然…就…；因为…所以…,약속한 이상은 지켜야 한다.,"Now that I've made a promise, I must keep it.",約束した以上は、守らなければならない。,既然约定了，就必须遵守。
いきなり,彼はいきなり大声で笑い出した。,갑자기; 느닷없이; 별안간,abruptly; suddenly; all of a sudden; without warning,突然、急に、いきなり,突然；冷不防；猛地,그는 갑자기 큰 소리로 웃기 시작했다.,He suddenly burst out laughing loudly.,彼はいきなり大声で笑い出した。,他突然大声笑了起来。
