"question","option1","option2","option3","option4","answer","imageName","underline","explanation_ko","explanation_en","explanation_zh_hans","explanation_zh_hant","explanation_ja","explanation_fr","explanation_id","explanation_es","explanation_th","explanation_vi"
"ちかてつかできてべんりになりました。","便利","便理","使利","使理","便利","","べんり","「べんり」는 「便利」(편리)라고 씁니다. 便=べん, 利=り. 「便理」「使利」「使理」는 모두 잘못된 한자 표기입니다.","べんり is written 便利 (convenient). 便=べん, 利=り. 便理, 使利, 使理 are all wrong kanji.","「べんり」写作「便利」（方便）。便=べん，利=り。便理・使利・使理均错误。","「べんり」寫作「便利」（方便）。便=べん，利=り。便理・使利・使理均錯誤。","「べんり」=便利。便(べん)+利(り)。便理・使利・使理はすべて誤り。","べんり s'ecrit 便利 (pratique). 便=べん, 利=り. Les autres sont incorrects.","べんり ditulis 便利 (nyaman/praktis). 便=べん, 利=り. Yang lain salah.","べんり se escribe 便利 (conveniente). 便=べん, 利=り. Los demas son incorrectos.","「べんり」เขียนว่า 便利 (สะดวก) 便=べん 利=り ตัวเลือกอื่นผิดทั้งหมด","べんり viet la 便利 (tien loi). 便=べん, 利=り."
"とてもねむかったので、コーヒーを飲みました。","眠むかった","眠かった","眼かった","眼むかった","眠かった","","ねむかった","「ねむかった」는 「眠かった」(졸렸다)라고 씁니다. 眠=ねむ(잠들다/졸리다), 眼=め(눈). 「眼かった」는 잘못된 한자이며, 「眠むかった」처럼 む를 겹치는 것도 틀립니다.","ねむかった is written 眠かった (was sleepy). 眠=ねむ (sleep/sleepy), 眼=め (eye). 眠むかった doubles む, which is wrong.","「ねむかった」写作「眠かった」（困了/犯困）。眠=ねむ（睡眠），眼=め（眼睛）。眠むかった多余了む，是错误的。","「ねむかった」寫作「眠かった」（困了/犯睏）。眠=ねむ（睡眠），眼=め（眼睛）。眠むかった多餘了む，是錯誤的。","「ねむかった」=眠かった。眠(ねむ)+かった。眼(め)は目のことで別の漢字。眠むかったは誤り。","ねむかった s'ecrit 眠かった (avait sommeil). 眠=ねむ, 眼=me (oeil). 眠むかった est incorrect.","ねむかった ditulis 眠かった (mengantuk). 眠=ねむ, 眼=め (mata). 眠むかった salah.","ねむかった se escribe 眠かった (tenia sueno). 眠=ねむ, 眼=め (ojo). 眠むかった es incorrecto.","「ねむかった」เขียนว่า 眠かった (ง่วง) 眠=ねむ 眼=め (ตา) 眠むかった ผิด","ねむかった viet la 眠かった (buon ngu). 眠=ねむ, 眼=め (mat). 眠むかった sai."
"きょうはゆきがふっています。","雪","電","雷","雲","雪","","ゆき","「ゆき」는 「雪」(눈)이라고 씁니다. 電=でん(전기), 雷=かみなり(천둥), 雲=くも(구름). 날씨 관련 한자를 함께 외워두세요.","ゆき is written 雪 (snow). 電=でん (electricity), 雷=かみなり (thunder), 雲=くも (cloud).","「ゆき」写作「雪」（雪）。電=でん（电），雷=かみなり（雷），雲=くも（云）。","「ゆき」寫作「雪」（雪）。電=でん（電），雷=かみなり（雷），雲=くも（雲）。","「ゆき」=雪(snow)。電(でん)・雷(かみなり)・雲(くも)は別の漢字。","ゆき s'ecrit 雪 (neige). 電=でん (electricite), 雷=かみなり (tonnerre), 雲=くも (nuage).","ゆき ditulis 雪 (salju). 電=でん (listrik), 雷=かみなり (petir), 雲=くも (awan).","ゆき se escribe 雪 (nieve). 電=でん (electricidad), 雷=かみなり (trueno), 雲=くも (nube).","「ゆき」เขียนว่า 雪 (หิมะ) 電=でん (ไฟฟ้า) 雷=かみなり (ฟ้าร้อง) 雲=くも (เมฆ)","ゆき viet la 雪 (tuyet). 電=でん (dien), 雷=かみなり (sam set), 雲=くも (may)."
"（）になにをいれますか。いちばんいいものをひとつえらんでください。\nけさせんたくしたふくがまだ（）いません。","ひえて","なおって","ぬれて","かわいて","かわいて","","","세탁한 옷이 '아직 마르지 않았다'는 문맥. 「乾く（かわく）」→かわいて(乾いて)가 정답. ひえて=식다, なおって=낫다/고치다, ぬれて=젖다.","Washed clothes not yet dry -> かわいて (dried, from 乾く). ひえて=cooled, なおって=recovered/fixed, ぬれて=got wet.","洗好的衣服还没干→かわいて（乾いて，干了）。ひえて=变凉，なおって=好了/修好，ぬれて=湿了。","洗好的衣服還沒乾→かわいて（乾いて，乾了）。ひえて=變涼，なおって=好了/修好，ぬれて=濕了。","洗濯した服がまだ乾いていない→かわいて(乾く)が正解。ひえて(冷える)・なおって(直る)・ぬれて(濡れる)は意味が違います。","Vetements pas encore secs -> かわいて (secs, de 乾く). ひえて=refroidi, なおって=gueri/repare, ぬれて=mouille.","Pakaian belum kering -> かわいて (kering, dari 乾く). ひえて=dingin, なおって=sembuh/diperbaiki, ぬれて=basah.","Ropa aun no seca -> かわいて (seco, de 乾く). ひえて=enfriado, なおって=curado/reparado, ぬれて=mojado.","เสื้อผ้ายังไม่แห้ง → かわいて (แห้ง จาก 乾く) ひえて=เย็น なおって=หาย/ซ่อม ぬれて=เปียก","Quan ao chua kho -> かわいて (kho, tu 乾く). ひえて=nguoi, なおって=khoi/sua, ぬれて=uot."
"スミスさんはいつも（）べんきょうしています。","だいじに","たいせつに","ねっしんに","まっすぐに","ねっしんに","","","「열심히 공부하다」는 문맥에 「熱心に（ねっしんに）=열심히」가 적절합니다. だいじに=소중히, たいせつに=소중하게, まっすぐに=곧게/솔직하게.","Always studying enthusiastically -> ねっしんに (enthusiastically/diligently). だいじに=carefully, たいせつに=preciously, まっすぐに=straight/honestly.","总是热心学习→ねっしんに（热心地/认真地）。だいじに=珍重，たいせつに=珍惜，まっすぐに=直接/坦诚。","總是熱心學習→ねっしんに（熱心地/認真地）。だいじに=珍重，たいせつに=珍惜，まっすぐに=直接/坦誠。","いつも熱心に勉強する→ねっしんに(熱心に)が正解。だいじに・たいせつに・まっすぐには文脈に合いません。","Etudier toujours avec enthousiasme -> ねっしんに (avec enthousiasme). だいじに=precieusement, まっすぐに=honnêtement.","Selalu belajar dengan giat -> ねっしんに (dengan giat). だいじに=dengan hati-hati, まっすぐに=lurus/jujur.","Siempre estudia con entusiasmo -> ねっしんに (con entusiasmo). だいじに=con cuidado, まっすぐに=directo/honesto.","เรียนอย่างกระตือรือร้นเสมอ → ねっしんに (อย่างกระตือรือร้น) だいじに=อย่างระมัดระวัง まっすぐに=ตรง/ซื่อสัตย์","Luon hoc chan chi -> ねっしんに (mot cach chan chi). だいじに=can than, まっすぐに=thang than."
"わたしはにほんのまんがに（）があります。","きぶぶん","きょうみ","こころ","しゅみ","きょうみ","","","만화에 「興味（きょうみ）=관심/흥미」가 있다는 문맥이 자연스럽습니다. きぶぶん은 존재하지 않는 단어, こころ=마음, しゅみ=취미(특정 활동을 즐기는 것).","Interest in manga -> きょうみ (interest/curiosity, 興味). きぶぶん does not exist, こころ=heart, しゅみ=hobby (specific activity).","对漫画有兴趣→きょうみ（兴趣）。きぶぶん不存在，こころ=心，しゅみ=爱好（具体活动）。","對漫畫有興趣→きょうみ（興趣）。きぶぶん不存在，こころ=心，しゅみ=嗜好（具體活動）。","マンガに興味(きょうみ)がある、が自然な文章。きぶぶんは存在しない語。しゅみは趣味で具体的な活動のこと。","Interet pour les mangas -> きょうみ (interet, 興味). きぶぶん n'existe pas, こころ=coeur, しゅみ=loisir.","Tertarik pada manga -> きょうみ (minat/ketertarikan). きぶぶん tidak ada, こころ=hati, しゅみ=hobi.","Interes en el manga -> きょうみ (interes, 興味). きぶぶん no existe, こころ=corazon, しゅみ=hobby.","สนใจมังงะ → きょうみ (ความสนใจ) きぶぶん ไม่มีในภาษาญี่ปุ่น こころ=จิตใจ しゅみ=งานอดิเรก","Quan tam den manga -> きょうみ (su quan tam). きぶぶん khong ton tai, こころ=tam, しゅみ=so thich."
"わたしはテニスの（）をよくしりません。","アイディア","ルール","あんない","せつめい","ルール","","","테니스의 「ルール(rule)=규칙」를 모른다는 문맥. アイディア=아이디어, あんない=안내, せつめい=설명. 스포츠에는 ルール를 사용합니다.","Don't know tennis -> ルール (rules). アイディア=idea, あんない=guide/directions, せつめい=explanation.","不了解网球的ルール（规则）。アイディア=主意，あんない=引导，せつめい=说明。","不了解網球的ルール（規則）。アイディア=主意，あんない=引導，せつめい=說明。","テニスのルール(rules)を知らない、が自然。アイディア・あんない・せつめいは意味が違います。","Ne pas connaitre les regles de tennis -> ルール (regles). アイディア=idee, あんない=guide, せつめい=explication.","Tidak tahu aturan tenis -> ルール (aturan). アイディア=ide, あんない=panduan, せつめい=penjelasan.","No conocer las reglas de tenis -> ルール (reglas). アイディア=idea, あんない=guia, せつめい=explicacion.","ไม่รู้กฎของเทนนิส → ルール (กฎ) アイディア=ความคิด あんない=แนะนำ せつめい=อธิบาย","Khong biet luat tennis -> ルール (luat). アイディア=y tuong, あんない=huong dan, せつめい=giai thich."
"りょこうのにもつはもう（）できましたか。","やくそく","りよう","せわ","ようい","ようい","","","여행 짐 준비 문맥에서 「用意（ようい）=준비」가 적절합니다. やくそく=약속, りよう=이용, せわ=돌봄/신세. ようい는 '준비'를 뜻합니다.","Travel luggage already prepared -> ようい (preparation, 用意). やくそく=promise, りよう=use, せわ=care.","旅行行李准备→ようい（用意，准备好）。やくそく=约定，りよう=利用，せわ=照顾。","旅行行李準備→ようい（用意，準備好）。やくそく=約定，りよう=利用，せわ=照顧。","旅行の荷物の準備→ようい(用意)が正解。やくそく(約束)・りよう(利用)・せわ(世話)は意味が違います。","Preparation des bagages -> ようい (preparation, 用意). やくそく=promesse, りよう=utilisation, せわ=soins.","Persiapan koper -> ようい (persiapan, 用意). やくそく=janji, りよう=penggunaan, せわ=perawatan.","Preparar equipaje -> ようい (preparacion, 用意). やくそく=promesa, りよう=uso, せわ=cuidado.","เตรียมกระเป๋าเดินทาง → ようい (การเตรียม 用意) やくそく=สัญญา りよう=การใช้ せわ=การดูแล","Chuan bi hanh ly -> ようい (chuan bi, 用意). やくそく=hua, りよう=su dung, せわ=cham soc."
"おとうとと（）して母にあげるプレゼントをえらびました。","さんせい","あいさつ","そうだん","へんじ","そうだん","","","남동생과 함께 어머니 선물을 '상의해서' 고른다는 문맥. 「相談（そうだん）=상의/상담」이 적절합니다. さんせい=찬성, あいさつ=인사, へんじ=답장/대답.","Chose gift for mother after discussing with brother -> そうだん (discuss/consult, 相談). さんせい=agree, あいさつ=greeting, へんじ=reply.","和弟弟商量→そうだん（相談，商量）。さんせい=赞成，あいさつ=打招呼，へんじ=回答。","和弟弟商量→そうだん（相談，商量）。さんせい=贊成，あいさつ=打招呼，へんじ=回答。","弟と相談して母へのプレゼントを選ぶ→そうだん(相談)が正解。さんせい(賛成)・あいさつ(挨拶)・へんじ(返事)は文脈に合いません。","Choisir cadeau avec frere apres discussion -> そうだん (consultation, 相談). さんせい=accord, あいさつ=salutation, へんじ=reponse.","Pilih hadiah setelah berdiskusi dengan adik -> そうだん (berdiskusi, 相談). さんせい=setuju, あいさつ=salam, へんじ=balasan.","Elegir regalo discutiendo con hermano -> そうだん (consultar, 相談). さんせい=acuerdo, あいさつ=saludo, へんじ=respuesta.","ปรึกษากับน้องเพื่อเลือกของขวัญ → そうだん (ปรึกษา 相談) さんせい=เห็นด้วย あいさつ=ทักทาย へんじ=ตอบ","Ban bac voi em de chon qua -> そうだん (ban bac, 相談). さんせい=dong y, あいさつ=chao, へんじ=tra loi."
"このにもつをあそこに（）ください。","はこんで","つたえて","ひろって","むかえて","はこんで","","","짐을 저쪽으로 '옮겨' 달라는 문맥. 「運ぶ（はこぶ）→はこんで」가 정답. つたえて=전달하다, ひろって=줍다, むかえて=마중하다.","Carry luggage over there -> はこんで (carry, from 運ぶ). つたえて=convey/tell, ひろって=pick up, むかえて=pick someone up.","把行李搬到那边→はこんで（運んで，搬运）。つたえて=传达，ひろって=捡起，むかえて=迎接。","把行李搬到那邊→はこんで（運んで，搬運）。つたえて=傳達，ひろって=撿起，むかえて=迎接。","荷物をあそこに運ぶ→はこんで(運ぶのて形)が正解。つたえて(伝える)・ひろって(拾う)・むかえて(迎える)は意味が違います。","Transporter les bagages -> はこんで (transporter, de 運ぶ). つたえて=transmettre, ひろって=ramasser, むかえて=accueillir.","Bawa barang ke sana -> はこんで (membawa, dari 運ぶ). つたえて=menyampaikan, ひろって=memungut, むかえて=menjemput.","Llevar el equipaje alla -> はこんで (llevar, de 運ぶ). つたえて=transmitir, ひろって=recoger, むかえて=recibir.","ขนสัมภาระไปที่นั่น → はこんで (ขน จาก 運ぶ) つたえて=บอก/ส่ง ひろって=เก็บ むかえて=รับ/ต้อนรับ","Chuyen hanh ly sang do -> はこんで (chuyen, tu 運ぶ). つたえて=truyen dat, ひろって=nhat, むかえて=don."
"__の ぶんとだいたいおなじ いみの ぶんがあります。いちばん いい ものを ひとつ
えらんで ください。\nもっとていねいにかいてください","もっとおおきくかいてください。","もっときれいにかいてください。","もっとふとくかいてください。","もっとかんたんにかいてください。","もっときれいにかいてください。","","もっとていねいにかいてください","「丁寧に（ていねいに）」=정성껏/깔끔하게 쓰다=「きれいに」. おおきく=크게, ふとく=굵게, かんたんに=간단하게. ていねいに는 '정성스럽게, 깔끔하게'라는 의미입니다.","ていねいに (carefully/neatly) is synonymous with きれいに (neatly). おおきく=bigger, ふとく=thicker, かんたんに=simply.","「ていねいに」=认真/工整=「きれいに」。おおきく=大，ふとく=粗，かんたんに=简单。","「ていねいに」=認真/工整=「きれいに」。おおきく=大，ふとく=粗，かんたんに=簡單。","「ていねいに書く」=丁寧に、つまりきれいに書くこと。おおきく・ふとく・かんたんには意味が異なります。","ていねいに (soigneusement) = きれいに (proprement). おおきく=plus grand, ふとく=plus epais, かんたんに=simplement.","ていねいに (dengan teliti) = きれいに (dengan rapi). おおきく=lebih besar, ふとく=lebih tebal, かんたんに=sederhana.","ていねいに (cuidadosamente) = きれいに (ordenadamente). おおきく=mas grande, ふとく=mas grueso, かんたんに=simplemente.","「ていねいに」(อย่างพิถีพิถัน) = きれいに (อย่างสวยงาม/เรียบร้อย) おおきく=ใหญ่กว่า ふとく=หนากว่า かんたんに=ง่าย","ていねいに (can than) = きれいに (gon gang). おおきく=lon hon, ふとく=day hon, かんたんに=don gian."
"__の ぶんとだいたいおなじ いみの ぶんがあります。いちばん いい ものを ひとつ
えらんで ください。\nきのうはねぼうしました。","きのうはねるのがおそくなってしまいました。","きのうははやくねてしまいました。","きのうはおきるのがおそくなってしまいました。","きのうははやくおきてしまいました。","きのうはおきるのがおそくなってしまいました。","","きのうはねぼうしました。","「寝坊（ねぼう）」는 늦잠 자는 것=「起きるのが遅くなった」. 자는 시간이 늦어진 것이 아니라 일어나는 시간이 늦어진 것입니다.","ねぼう (oversleeping) = 起きるのが遅くなった (woke up late). Not going to bed late, but waking up late.","「ねぼう」=赖床/起晚了=「おきるのがおそくなった」。不是睡得晚，而是起得晚。","「ねぼう」=賴床/起晚了=「おきるのがおそくなった」。不是睡得晚，而是起得晚。","「寝坊（ねぼう）」は起きるのが遅くなること。寝るのが遅くなるのとは違います。","ねぼう (faire la grasse matinee) = おきるのがおそくなった (s'est reveille tard). Pas se coucher tard.","ねぼう (kesiangan) = おきるのがおそくなった (bangun terlambat). Bukan tidur terlambat.","ねぼう (dormir de mas) = おきるのがおそくなった (se desperto tarde). No acostarse tarde.","「ねぼう」(นอนหลับเกิน/ตื่นสาย) = おきるのがおそくなった (ตื่นสาย) ไม่ใช่นอนดึก","ねぼう (ngu qua gio) = おきるのがおそくなった (day tre). Khong phai di ngu muon."
"__の ぶんとだいたいおなじ いみの ぶんがあります。いちばん いい ものを ひとつ
えらんで ください。\nたなかさんは先生にほめられました。","先生はたなかさんに「気をつけてね」と言いました。","先生はたなかさんに「とてもよかったですよ」と言いました。","先生はたなかさんに「ちょっと休みましょう」と言いました。","先生はたなかさんに「たいへんですね」と言いました。","先生はたなかさんに「とてもよかったですよ」と言いました。","","たなかさんは先生にほめられました。","「褒められる（ほめられる）」=칭찬받다. 선생님이 「とてもよかったですよ」라고 말하는 것이 칭찬에 해당합니다. 다른 선택지는 주의/격려/위로입니다.","ほめられました (was praised) = teacher said 'とてもよかったですよ' (very good). Other options show warning, encouragement, or sympathy.","「ほめられました」=被表扬了。老师说「とてもよかったですよ」（做得很好）是表扬。其他选项是提醒、鼓励或安慰。","「ほめられました」=被表揚了。老師說「とてもよかったですよ」（做得很好）是表揚。其他選項是提醒、鼓勵或安慰。","「ほめられた」=褒められること。「とてもよかったですよ」が褒め言葉。他の選択肢は注意・休息・同情の表現。","ほめられました (a ete felicite) = 'とてもよかったですよ' (tres bien). Les autres options: avertissement, encouragement, sympathie.","ほめられました (dipuji) = 'とてもよかったですよ' (sangat bagus). Pilihan lain: peringatan, semangat, simpati.","ほめられました (fue elogiado) = 'とてもよかったですよ' (muy bien). Otras opciones: advertencia, animo, simpatia.","「ほめられました」(ถูกชมเชย) = 'とてもよかったですよ' (ดีมาก) ตัวเลือกอื่น: เตือน/พัก/เห็นใจ","ほめられました (duoc khen) = 'とてもよかったですよ' (rat tot). Cac lua chon khac: canh bao, co vu, dong cam."
